연번,관리번호,도로명 주소,위도,경도
1,선학-1,인천광역시 연수구 비류대로529번길 3,37.423238,126.6932665
2,선학-2,인천광역시 연수구 비류대로519번길 3-2,37.4232237,126.6922219
3,선학-3,인천광역시 연수구 비류대로519번길 3-8,37.423217,126.6918734
4,선학-4,인천광역시 연수구 비류대로519번길 3-32,37.4237629,126.6921303
5,선학-5,인천광역시 연수구 비류대로519번길 32,37.4243917,126.6921171
6,선학-6,인천광역시 연수구 비류대로529번길 51,37.4247821,126.6922194
7,선학-7,인천광역시 연수구 비류대로529번길 23,37.4244389,126.6933292
8,선학-8,인천광역시 연수구 비류대로529번길 22-23,37.4243043,126.6948283
9,선학-9,인천광역시 연수구 비류대로541번길 14-2,37.4239375,126.6948112
10,선학-10,인천광역시 연수구 비류대로541번길 14-14,37.4239882,126.6955141
11,선학-11,인천광역시 연수구 비류대로541번길 6,37.4234687,126.6948009
12,선학-12,인천광역시 연수구 학나래로45번길 27,37.4245155,126.6957769
13,선학-13,인천광역시 연수구 학나래로45번길 3,37.4253846,126.6962847
14,선학-14,인천광역시 연수구 학나래로 40,37.4254182,126.6966457
15,선학-15,인천광역시 연수구 학나래로 34,37.4251001,126.6965554
16,선학-16,인천광역시 연수구 학나래로 23,37.4244269,126.6966439
17,선학-17,인천광역시 연수구 학나래로14번길 8,37.4240627,126.6969592
18,선학-18,인천광역시 연수구 학나래로46번길 20,37.4253414,126.6974805
19,선학-19,인천광역시 연수구 학나래로22번길 23,37.4252555,126.6970566
20,선학-20,인천광역시 연수구 학나래로22번길 15,37.4249545,126.6970197
21,선학-21,인천광역시 연수구 학나래로 79,37.4267965,126.6969738
22,선학-22,인천광역시 연수구 학나래로117번길 3,37.4282403,126.6980483
23,선학-23,인천광역시 연수구 경원대로483번길 15-7,37.4271044,126.6975771
24,선학-24,인천광역시 연수구 경원대로467번길 26-11,37.4262558,126.6975032
25,선학-25,인천광역시 연수구 경원대로467번길 26-1,37.4262641,126.6971721
26,선학-26,인천광역시 연수구 학나래로117번길 14,37.4289694,126.6977824
27,선학-27,인천광역시 연수구 넘말로 31,37.4292941,126.697334
28,선학-28,인천광역시 연수구 넘말로 48,37.4299465,126.696802
29,선학-29,인천광역시 연수구 넘말로 69,37.4310112,126.6969016
30,선학-30,인천광역시 연수구 넘말로79번길 55-1,37.4293897,126.6947877
31,선학-31,인천광역시 연수구 넘말로79번길 55-11,37.4290731,126.6953278
32,선학-32,인천광역시 연수구 넘말로47번길 31,37.4288303,126.6956881
33,선학-33,인천광역시 연수구 넘말로47번길 20,37.4293105,126.6962782
34,선학-34,인천광역시 연수구 넘말로55번길 19,37.4297376,126.6959813
35,선학-35,인천광역시 연수구 넘말로55번길 4,37.4302486,126.6965603
36,선학-36,인천광역시 연수구 넘말로29번길 36,37.4282736,126.6957292
37,선학-37,인천광역시 연수구 넘말로29번길 20,37.4286959,126.696645
38,선학-38,인천광역시 연수구 학나래로117번길 19,37.4289794,126.6971858
39,선학-39,인천광역시 연수구 학나래로117번길 14,37.4287476,126.6975606
40,선학-40,인천광역시 연수구 경원대로483번길 30,37.4278905,126.697127
41,선학-41,인천광역시 연수구 경원대로483번길 40,37.428129,126.6967554
42,선학-42,인천광역시 연수구 경원대로588번길 13,37.4362678,126.6973429
43,선학-43,인천광역시 연수구 예술로22번길 20,37.4360136,126.6993347
