연번,소재지구분,상호,도로명주소,위도,경도,세부위치,영업시간
1,아파트,송도 성지리벨루스 아파트,인천광역시 연수구 신송로6번길 7,37.38940224,126.662291,후문 경비실,평일 09:00~18:00
2,아파트,더샾 센트럴파크 1차 아파트,인천광역시 연수구 센트럴로 232,37.3974223,126.6366413,아파트 동문 쪽 102동 로비,평일 09:00~18:00
3,아파트,송도그린워크 1차 아파트,인천광역시 연수구 아트센터대로97번길 30,37.3982977,126.6414413,1604동앞 GATE 2초소 보안실,평일 09:00~18:00
4,아파트,더샵그린스퀘어 아파트,인천광역시 연수구 송도문화로28번길 81,37.37378715,126.6540402,단지 내 케어링센센터 앞,평일 09:00~18:00
5,아파트,송도 에듀포레 푸르지오 아파트,인천광역시 연수구 송도문화로 84번길 24,37.3743122,126.660485,관리사무소 앞(생활문화지원실),평일 09:00~18:00
6,아파트,글로벌파크베르디움 아파트,인천광역시 연수구 송도문화로 28번길 27,37.37471367,126.6548135,관리소 앞,평일 09:00~18:00
7,아파트,송도더샵마스터뷰(F21) 아파트,인천광역시 연수구 컨벤시아대로 274번길 55,37.38330044,126.6299768,관리소 앞(2106동 근처),평일 09:00~18:00
8,아파트,힐스테이트 레이크 송도2차 아파트,인천광역시 연수구 아카데미로 446,37.39809814,126.6202907,관리소 앞(서비스센터),평일 09:00~18:00
9,아파트,더샵송도프라임뷰20BL 아파트,인천광역시 연수구 인천타워대로231번길 97,37.38521107,126.6285307,GATE2 초소,평일 09:00~18:00
10,아파트,e편한세상 송도 아파트,인천광역시 연수구 랜드마크로 113,37.41343662,126.6179002,후문 관리실 앞,평일 09:00~18:00
11,아파트,송도오션파크베르디움 아파트,인천광역시 연수구 랜드마크로 110,37.41612907,126.6150246,관리사무소 앞(104동 1층),평일 09:00~18:00
12,아파트,송도랜드마크시티센트럴더샵 아파트,인천광역시 연수구 랜드마크로 68,37.4151351,126.6184226,관리소 로비(107동 근처),평일 09:00~18:00
13,아파트,호반써밋송도 아파트,인천광역시 연수구 랜드마크로 20,37.41548649,126.6250788,107동 재활용쓰레기장,평일 09:00~18:00
14,아파트,힐스테이트 레이크 송도1차 아파트,인천 연수구 아카데미로312번길 177,37.40183976,126.6204494,관리사무소(109동 1층),평일 09:00~18:00
15,공공기관,송도1동행정복지센터,인천광역시 연수구 하모니로35번길 8,37.39105575,126.6520819,1층 로비,평일 09:00~18:00
16,공공기관,송도건강생활지원센터,인천광역시 연수구 인천타워대로54번길 19,37.37978091,126.6465727,1층 로비,평일 09:00~18:00
17,공공기관,송도2동행정복지센터,인천광역시 연수구 신송로 248,37.40327221,126.6416481,1층 로비,평일 09:00~18:00
18,공공기관,송도3동행정복지센터,인천광역시 연수구 송도교육로 63 (송도동),37.37148829,126.6601662,1층 로비,평일 09:00~18:00
19,공공기관,송도4동행정복지센터,인천광역시 연수구 컨벤시아대로252번길 79 (송도동),37.38816912,126.6297842,1층 로비,평일 09:00~18:00
20,공공기관,송도5동행정복지센터,인천광역시 연수구 센트럴로 418 (송도동),37.41085626,126.6287906,1층 로비,평일 09:00~18:00
21,공공기관,연수구 제2청사,인천광역시 연수구 연구단지로 14 연수구청 제2청사 로비,37.37889608,126.6585627,1층 로비,평일 09:00~18:00
22,약국,365마리나약국,"인천광역시 연수구 랜드마크로 110, 근린생활시설1동 115호 (송도동, 송도 오션파크 베르디움)",37.41612907,126.6150246,약국 내 수거함,매일 9:00~01:00
23,약국,고래온누리약국,"인천광역시 연수구 해돋이로152번길 9, 102,103호 (송도동)",37.39515025,126.6472207,약국 내 수거함,평일 03:00~19:00
24,약국,참다온약국,"인천광역시 연수구 하모니로178번길 22, 115,115-1,116호 (송도동)",37.38312856,126.6408241,약국 내 수거함,평일 08:30~20:00
25,약국,별온누리약국,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A-110,111,112호 (송도동)",37.3832947,126.642256,약국 내 수거함,매일 09:00~20:00
26,약국,송도센트럴약국,"인천광역시 연수구 송도국제대로 261, 114호 (송도동, 송도 더샵 센트럴시티)",37.37421922,126.6499786,약국 내 수거함,평일 09:00~21:00
27,약국,송도제일약국,"인천광역시 연수구 송도국제대로 157, 오네스타 1층 A-108~112호 (송도동)",37.38094106,126.6566642,약국 내 수거함,평일 08:30~01:00
28,약국,서울온누리약국,"인천광역시 연수구 해돋이로 168, 102호 (송도동, 혜인프라자)",37.39542536,126.6452088,약국 내 수거함,평일 08:30~20:00
29,약국,센트럴파크약국,"인천광역시 연수구 컨벤시아대로130번길 14, 1층 108,109호 (송도동)",37.39295398,126.6448881,약국 내 수거함,평일 09:00~20:00
30,약국,송도건강온누리약국,"인천광역시 연수구 컨벤시아대로 69, 4층 408호 (송도동, 밀레니엄빌딩)",37.39571538,126.6509559,약국 내 수거함,평일 08:00~19:30
31,약국,스마트약국,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 E동 204호",37.36664055,126.6472802,약국 내 수거함,평일 08:30~19:20
32,약국,하늘약국,"인천광역시 연수구 컨벤시아대로 177, 2층 (송도동, 롯데마트)",37.38831435,126.6433241,약국 내 수거함,평일 10:00~22:00
33,약국,송도봄약국,"인천광역시 연수구 해돋이로 161, 세종프라자 105,106호 (송도동)",37.39450699,126.6453719,약국 내 수거함,평일 08:30~17:40
